Month,Avg pm2.5_18,Avg AQI_18,Max pm2.5_18,Max AQI_18,Min pm2.5_18,Min AQI_18,Avg pm2.5_19,Avg AQI_19,Max pm2.5_19,Max AQI_19,Min pm2.5_19,Min AQI_19,Avg pm2.5_20,Avg AQI_20,Max pm2.5_20,Max AQI_20,Min pm2.5_20,Min AQI_20
01,47.8,120.49999999999997,87.0,167.2,17.0,61.3,46.55172413793103,121.32068965517239,91.0,169.3,21.0,69.7,66.66666666666667,146.51000000000005,97.0,172.4,25.0,78.1
02,45.25,118.86428571428571,87.0,167.2,25.0,78.1,52.25925925925926,125.41481481481482,95.0,171.4,13.0,52.9,50.30769230769231,130.8,82.0,164.7,17.0,61.3
03,35.45161290322581,100.21935483870968,72.0,159.5,13.0,52.9,44.6551724137931,122.22413793103446,68.0,157.4,25.0,78.1,47.4,120.94666666666666,85.0,166.2,17.0,61.3
04,45.86666666666667,124.25666666666667,72.0,159.5,21.0,69.7,46.13793103448276,121.09310344827587,82.0,164.7,17.0,61.3,49.5,127.05384615384614,78.0,162.6,17.0,61.3
05,38.29032258064516,107.00000000000001,76.0,161.6,17.0,61.3,27.93548387096774,84.76451612903222,46.0,126.9,13.0,52.9,38.43333333333333,107.8333333333333,61.0,153.8,21.0,69.7
06,38.357142857142854,108.36071428571425,53.0,144.1,25.0,78.1,54.1,141.43333333333334,78.0,162.6,25.0,78.1,30.0,89.0633333333333,42.0,117.0,21.0,69.7
07,49.333333333333336,131.73333333333332,72.0,159.5,34.0,97.1,48.375,130.85416666666666,63.0,154.9,34.0,97.1,34.391304347826086,97.53478260869564,76.0,161.6,9.0,37.5
